,id,name,market_cap,price_change_percentage_24h,twitter_followers,circ_perc,clusters
144,bitcoin-gold,Bitcoin Gold,643306381.0,3.23036,105706,83.39963809523809,1
145,zelcash,Flux,640650187.0,9.92839,59301,50.87997551126682,0
146,0x,0x,625801285.0,6.55324,251155,84.74960548122635,1
147,baby-doge-coin,Baby Doge Coin,625448126.0,2.95328,724592,39.11934572060859,0
148,juno-network,JUNO,621819163.0,10.5509,21592,53.85102651992396,0
149,telcoin,Telcoin,610747695.0,3.12678,91915,59.94440690406,0
150,ethereum-name-service,Ethereum Name Service,606683434.0,3.98524,146354,22.50709587646845,0
151,rocket-pool,Rocket Pool,602743868.0,3.96401,19117,89.95445,1
152,perpetual-protocol,Perpetual Protocol,601561515.0,1.75705,36350,42.36560056124284,0
153,nervos-network,Nervos Network,567470590.0,6.06884,80498,100.0,1
154,uma,UMA,562355324.0,2.43604,53122,61.38859211080621,1
155,metahero,Metahero,560078612.0,3.04638,209999,52.28271947522487,0
156,ontology,Ontology,549204071.0,5.96316,184427,87.5249524,1
157,swissborg,SwissBorg,546171106.0,5.87593,89212,95.1754603474276,1
158,render-token,Render Token,545395774.0,3.0235,50124,29.456567644092985,0
159,neutrino,Neutrino USD,534935938.0,0.57456,9883,99.97242715056058,1
160,dydx,dYdX,531749001.0,12.07504,106887,7.403814349202463,0
161,anchor-protocol,Anchor Protocol,529493555.0,-2.90403,129010,20.5432309206359,0
162,skale,SKALE,526633497.0,5.54961,81887,69.30186003791233,1
163,illuvium,Illuvium,521402392.0,6.24975,248368,9.068229403229742,0
164,xsushi,xSUSHI,510370335.0,5.77439,189696,100.0,1
165,constellation-labs,Constellation,498796677.0,5.03701,48371,70.40405841948197,1
166,dopex,Dopex,489631848.0,7.44051,22242,33.651242418266,0
167,hive,Hive,486107135.0,6.36041,31316,100.0,1
168,wazirx,WazirX,480864212.0,4.61107,524423,45.6517027331867,0
169,republic-protocol,REN,464975450.0,4.35974,111393,100.0,1
170,keep3rv1,Keep3rV1,459371386.0,23.9088,15102,100.0,3
171,moonriver,Moonriver,459137929.0,3.65196,92381,26.993359242552877,0
172,tribe-2,Tribe,457428309.0,6.84688,34622,45.50155308048597,0
173,coin98,Coin98,452729297.0,3.93026,332289,18.5,0
174,synapse-2,Synapse,452371751.0,6.49153,38386,100.0,1
175,tokemak,Tokemak,449132562.0,6.79511,34131,8.905964987813908,0
176,mask-network,Mask Network,444405338.0,10.93387,65268,45.33333,0
177,ufo-gaming,UFO Gaming,442362246.0,6.58194,125040,100.0,1
178,raydium,Raydium,439042776.0,5.90494,276952,14.586429150076397,0
179,boba-network,Boba Network,436495001.0,9.19778,355086,31.0006542,0
180,plex,PLEX,435565643.0,11.48847,0,55.520011789968414,0
181,digibyte,DigiByte,435384417.0,5.77252,238177,71.4473110610819,1
182,polymath,Polymath,433738750.0,4.63601,64587,89.85508296745886,1
183,flex-coin,FLEX Coin,433529079.0,0.23052,10612,79.74391546824856,1
184,metis-token,Metis Token,432525264.0,4.66601,86551,43.21264503042596,0
185,tomb,Tomb,430839432.0,30.74766,32674,100.0,3
186,chromaway,Chromia,430838097.0,5.19969,139418,100.0,1
187,nano,Nano,424074478.0,3.85607,147331,100.0,1
188,nucypher,NuCypher,423762012.0,11.2847,0,16.79996115150608,0
189,golem,Golem,422233963.0,4.96566,164132,100.0,1
190,serum,Serum,418105610.0,6.19149,185352,12.191279048413753,0
191,mobox,Mobox,417640620.0,2.4136,263934,26.571004050407275,0
192,tether-gold,Tether Gold,413038824.0,0.71848,2602,100.0,1
193,butterflydao,Redacted Cartel,397826348.0,-19.32265,27634,98.93229576467088,1
194,celer-network,Celer Network,397666069.0,10.24571,102140,56.4545493582688,0
195,constitutiondao,ConstitutionDAO,397516178.0,3.68007,66907,100.0,1
196,anyswap,Anyswap,392614199.0,36.54945,606,18.41412116623151,3
197,yield-guild-games,Yield Guild Games,391014304.0,2.34684,151976,8.790625,0
198,ion,Ion,386167413.0,16.13646,55128,100.0,1
199,looksrare,LooksRare,383932380.0,35.00251,0,48.43599771975671,3
200,origintrail,OriginTrail,374754806.0,-3.65182,42881,73.64430064846017,1
201,persistence,Persistence,372061755.0,6.457,34713,58.31962490781203,0
202,wink,WINkLink,370345345.0,5.66931,74895,96.27,1
203,xyo-network,XYO Network,368051031.0,3.1196,41462,89.46048623031544,1
204,casper-network,Casper Network,361391492.0,2.79846,151490,28.700904234574764,0
205,victoria-vr,Victoria VR,359185176.0,9.0461,84167,4.31974644047619,0
206,cratos,Cratos,359053481.0,0.74434,130644,69.0,1
207,just,JUST,358355990.0,5.1734,56618,73.74166666666667,1
208,ultra,Ultra,354800139.0,17.2377,63706,27.03919222376,0
209,reserve-rights-token,Reserve Rights Token,352740844.0,11.28474,93276,13.157802676898001,0
210,keep-network,Keep Network,351209482.0,6.83362,31432,54.97163002685891,0
211,playdapp,PlayDapp,348380735.0,7.697,20312,43.17312171428571,0
212,dent,Dent,337789877.0,12.76868,128753,95.65496045273588,1
213,jasmycoin,JasmyCoin,336299380.0,-0.16196,51127,9.509861560000001,0
214,ton-crystal,Everscale,334082727.0,2.25191,17203,44.7900612307512,0
215,phantasma,Phantasma,333966605.0,7.66135,38722,100.0,1
216,sapphire,Sapphire,333054288.0,1.93781,824,25.594103089581964,0
217,ocean-protocol,Ocean Protocol,332754414.0,7.666,143663,70.7922761170226,1
218,husd,HUSD,330817686.0,0.76444,5881,100.0,1
219,fx-coin,Function X,330404223.0,0.55534,17937,100.0,1
220,pax-gold,PAX Gold,330182342.0,1.00223,28436,100.0,1
221,fetch-ai,Fetch.ai,329405832.0,5.48165,91408,59.68076775872538,0
222,energy-web-token,Energy Web Token,325701070.0,5.27636,52687,60.95643431476645,1
223,lisk,Lisk,325391595.0,1.02027,203707,100.0,1
224,dao-maker,DAO Maker,324457243.0,8.54621,222641,24.822934232715006,0
225,swipe,Swipe,323804215.0,11.60038,49414,67.97126959684728,1
226,hathor,Hathor,322175573.0,11.90846,64608,25.898592660162496,0
227,akash-network,Akash Network,319437359.0,8.09534,63260,71.91138300155573,1
228,aragon,Aragon,318698139.0,14.02211,97866,88.45686708958127,1
229,vader-protocol,Vader Protocol,318430759.0,7.41868,19291,16.95310768139564,0
230,veritaseum,Veritaseum,309821628.0,2.0221,11275,2.1496464399999997,0
231,injective-protocol,Injective Protocol,307342623.0,-0.00246,98800,43.655554329999994,0
232,rari-governance-token,Rari Governance Token,299807255.0,6.47854,45878,90.04396986458285,1
233,coti,COTI,299781054.0,9.33192,217218,43.4336059015,0
234,cartesi,Cartesi,297620811.0,9.38331,67479,49.037443090035,0
235,chronobank,chrono.tech,294497026.0,-19.26545,15998,100.0,1
236,digitalbits,DigitalBits,290321474.0,3.36808,17922,50.81039889613539,0
237,zipmex-token,Zipmex Token,285602218.0,17.19607,6432,43.71165507,0
238,dusk-network,DUSK Network,282719946.0,19.62873,38983,77.897958745265,3
239,tenset,Tenset,282141710.0,-6.85196,106697,44.12047591907861,0
240,alchemix-usd,Alchemix USD,281611939.0,0.27132,57990,100.0,1
241,alchemix,Alchemix,280325515.0,5.36673,57990,54.91404827648589,0
242,superfarm,SuperFarm,280173221.0,3.14215,234665,28.733243083738774,0
243,origin-dollar,Origin Dollar,276410067.0,-0.06438,133175,100.0,1
244,medibloc,Medibloc,268958040.0,7.71987,21154,62.64451537734885,1
245,rmrk,RMRK,266910197.0,9.16937,45672,95.0,1
246,vulcan-forged,Vulcan Forged,264659427.0,-4.8424,75745,39.7954,0
247,gmx,GMX,264534063.0,-5.65298,16174,100.0,1
248,biconomy,Biconomy,264350211.0,2.60752,63838,7.2882218753000005,0
249,chia,Chia,263758188.0,8.48748,80901,11.84179410588653,0
250,power-ledger,Power Ledger,263480592.0,6.56523,105227,42.9712891919905,0
251,mdex,Mdex,262380020.0,2.75908,35071,82.79235685205899,1
252,interest-bearing-bitcoin,Interest Bearing Bitcoin,257922410.0,1.66319,43393,100.0,1
253,zenon,Zenon,257245207.0,7.18054,13605,0.0,0
254,joe,JOE,247626084.0,14.0481,112337,56.51736811296496,0
255,alpha-finance,Alpha Finance,245440270.0,7.81582,94540,44.6330126,0
256,merit-circle,Merit Circle,242668571.0,4.56728,89950,6.487492576164709,0
257,mirror-protocol,Mirror Protocol,241763759.0,2.52265,88545,36.422556235545564,0
258,power-cash,Power Cash,241602251.0,4.60862,42556,59.3486995004995,0
259,asd,AscendEx Token,241543985.0,2.55549,168690,100.0,1
260,vethor-token,VeThor Token,241199426.0,5.16214,544295,100.0,1
261,pundi-x-2,Pundi X,237616988.0,4.20812,155931,100.0,1
262,alchemy-pay,Alchemy Pay,237360071.0,-14.8508,78698,38.31091200495854,0
263,starlink,StarLink,236454385.0,7.49293,73722,99.79172029858489,1
264,coinex-token,CoinEx Token,235018793.0,3.3193,91343,65.27340094196673,1
265,orbs,Orbs,234361914.0,-0.69935,51064,28.72496511784467,0
266,lukso-token,LUKSO Token,234286968.0,4.00319,39210,15.205915708856644,0
267,conflux-token,Conflux,233377515.0,3.31776,47967,24.805088711936747,0
268,status,Status,232653267.0,3.92506,146269,57.02509657180856,0
269,milk-alliance,MiL.k Alliance,231748792.0,8.99141,0,22.0515077495128,0
270,trust-wallet-token,Trust Wallet Token,230177247.0,4.40756,1564944,34.6951186,0
271,storj,Storj,229906509.0,7.06477,113793,33.83233867685806,0
272,verge,Verge,229206139.0,6.27681,336719,99.62358615423497,1
273,bitcoin-diamond,Bitcoin Diamond,227638917.0,4.30952,36062,89.59852283477333,1
274,qredo,Qredo,224681301.0,16.08644,47051,3.8233748263720897,0
275,request-network,Request,224657660.0,3.05495,59180,77.18957152757493,1
276,escoin-token,Escoin Token,224648411.0,0.21669,3518,27.555685191858682,0
277,hector-dao,Hector DAO,224033010.0,2.25656,60565,98.39242868215005,1
278,insure,inSure DeFi,223426013.0,5.13063,12613,30.062517697495032,0
279,titanswap,TitanSwap,223208704.0,-3.1406,11202,1.0,0
280,platon-network,PlatON Network,222778291.0,5.83863,39480,22.352430817502636,0
281,band-protocol,Band Protocol,221767605.0,5.92833,120702,41.591943,0
282,radicle,Radicle,221144198.0,1.76821,25748,27.421190824904297,0
283,dvision-network,Dvision Network,221039822.0,12.38427,118560,24.676989,0
284,ardor,Ardor,220567941.0,3.46311,76469,100.0,1
285,civic,Civic,218267857.0,4.95137,115770,67.0,1
286,alien-worlds,Alien Worlds,217160915.0,7.65473,114202,24.15379904808542,0
287,xido-finance,Xido Finance,214971348.0,-5.24509,5946,28.314463640600003,0
288,origin-protocol,Origin Protocol,210447213.0,4.16842,133307,40.1444221,0
289,mango-markets,Mango,209479508.0,3.77292,73644,20.23232,0
290,regen,Regen,208215671.0,4.59074,13738,100.0,1
291,dodo,DODO,207108818.0,7.43187,126744,26.92880525558619,0
292,tether-eurt,Euro Tether,205949074.0,0.73908,194481,45.249695593788054,0
293,ergo,Ergo,205808188.0,3.12998,50477,50.139305408095055,0
294,polkastarter,Polkastarter,204173945.0,5.00016,619343,88.221432,1
295,wilder-world,Wilder World,203772135.0,8.18915,89058,16.736660034,0
296,sun-token,Sun Token,202282611.0,6.05197,44493,52.83679555976087,0
297,lido-dao,Lido DAO,201870251.0,1.63194,56186,7.1047116000955395,0
298,iexec-rlc,iExec RLC,201492022.0,3.28925,51027,81.99163698890547,1
299,hxro,Hxro,201173285.0,1.34689,7640,43.58398663235563,0
300,kardiachain,KardiaChain,199122628.0,6.67535,151619,64.92999999999999,1
301,vvs-finance,VVS Finance,199089686.0,3.90065,57929,13.179529979523291,0
302,tokamak-network,Tokamak Network,196973583.0,5.56865,10386,81.3520938251128,1
303,nkn,NKN,196674677.0,4.54799,37824,65.0,1
304,bifrost,Bifrost,196222445.0,3.1704,39920,27.386379405658772,0
305,seth,sETH,195727796.0,4.32004,182983,100.0,1
306,klima-dao,Klima DAO,193802870.0,1.28889,66545,100.0,1
307,mx-token,MX Token,193665427.0,6.92578,365051,22.222222222155555,0
308,sbtc,sBTC,193289090.0,0.14825,182993,100.0,1
309,pundi-x,Pundi X [OLD],192751889.0,0.0,155923,91.49728609609508,1
310,my-neighbor-alice,My Neighbor Alice,192085537.0,6.34413,176448,17.4,0
311,unibright,Unibright,191886065.0,-0.91874,25221,100.0,1
312,fuse-network-token,Fuse,190886064.0,49.91719,34383,41.7525572995166,3
313,balancer,Balancer,189391230.0,2.26677,118240,22.890755353093265,0
314,circuits-of-value,Circuits of Value,189201826.0,-5.6176,14203,100.0,1
315,singularitynet,SingularityNET,189114631.0,1.03237,71817,96.56499661965138,1
316,orchid-protocol,Orchid Protocol,188471265.0,5.74416,79225,59.154472895167984,0
317,aelf,aelf,188089191.0,3.91818,95239,52.42386352353352,0
